id,playtime_forever
0,0.8466666668
1,0.3866666667
2,0.22999999990000003
3,0.6733333333
4,0.9333333333
5,0.02
6,0.1216666666
7,0.5599999999999999
8,0.0
9,0.7283333335
10,0.20666666660000002
11,0.5033333333
12,0.6766666666999999
13,0.7649999999999999
14,4.115000001
15,0.5199999999999999
16,0.8599999998000001
17,0.1733333333
18,0.0
19,2.0099999996
20,0.8483333334000001
21,1.6833333333999998
22,0.7349999999000001
23,0.1233333333
24,1.0566666665000002
25,1.4733333335000003
26,0.0
27,2.0166666668
28,0.9266666667000001
29,0.9599999999999997
30,0.06999999999999999
31,10.525
32,0.305
33,0.495
34,5.158333333500001
35,0.2016666667
36,0.7783333334
37,3.429999999800001
38,0.9766666665000001
39,0.185
40,0.23500000000000001
41,1.2433333333
42,3.1949999997
43,0.0983333333
44,0.8100000001
45,2.5150000002999997
46,1.0633333335
47,1.4700000001000002
48,1.0666666667000002
49,4.251666667
50,2.3300000001000005
51,0.43000000000000005
52,0.7816666667
53,0.6566666666
54,9.2699999997
55,0.8549999999000001
56,2.2566666667
57,0.4083333332
58,0.40000000010000003
59,0.1683333334
60,0.9
61,7.061666665599999
62,1.3333333335
63,11.6566666684
64,0.16999999999999998
65,0.7266666666999999
66,0.6216666665999999
67,0.7516666667
68,1.555
69,0.7100000000000001
70,0.13833333330000003
71,10.528333333
72,1.0833333334000002
73,27.3549999997
74,0.4566666667
75,19.1533333333
76,3.6033333335999997
77,3.446666667
78,1.8350000001000002
79,0.9149999999999998
80,0.42166666680000003
81,1.1316666667
82,0.4733333334
83,10.686666666699999
84,1.15
85,1.0016666666
86,0.1933333333
87,1.2350000001
88,0.7316666667
89,3.5550000004000006
